time;Pixel rightCheek
27.7;194.7382840663302,170.619562605143,170.23984619081952
27.8;192.540675547098,169.38415794481446,168.57136060894388
27.935;192.2583254043768,168.88867745004757,168.81018078020932
28.008;194.7371158392435,170.7612293144208,170.87612293144207
28.079;196.0800850460666,172.28726671391448,172.36475313016774
28.153;192.80314037965783,169.58401687368175,169.13428638387626
28.219;194.06348831720558,170.29525607741326,170.1663913146094
28.321;194.46916764361077,170.68886283704572,170.4461899179367
28.422;195.07517192316814,171.21152478064974,171.12947593075646
28.522;194.8579558928148,171.14251837799384,170.8129001659948
28.623;194.18984651711924,170.23683589138133,170.08949232585596
28.694;192.20839160839162,168.97062937062938,168.83240093240093
28.831;193.87871637564888,170.5814063237376,170.56960830580462
28.933;194.76065573770492,170.41007025761124,170.1072599531616
29.033;193.8663214874088,170.32831254412804,169.9169216286185
29.101;193.08560677328316,169.70178739416744,169.5197554092192
29.179;193.14487300094072,169.41698024459077,169.07102539981184
29.28;194.0109341573568,170.009032564773,170.0646541478488
29.381;194.18538661622134,170.38235989595648,170.22132891936627
29.483;194.25842429995254,170.55529188419553,170.4283341243474
29.587;193.2365641868106,169.74466087772822,169.72048814832198
29.69;194.88090737240077,170.68147448015122,170.55033081285444
29.824;193.820325394954,169.92501768450836,169.91393539259607
29.926;194.2730488092431,170.12025465692054,169.8481490214572
30.027;194.40364152281865,170.27216836131473,170.3528020808702
30.096;193.57264150943396,169.7941037735849,169.56037735849057
30.196;193.3789274746043,169.74226317032839,170.1086699740137
30.302;193.79198113207548,170.0622641509434,169.73396226415093
30.403;193.27993413314513,169.95459891790168,169.21547871089155
30.504;193.95250411474254,170.27627557018576,170.1201504820127
30.606;193.96002821537738,170.09146484834235,169.81660004702562
30.708;194.19773478055686,169.90585181689477,170.10783388390752
31.415;190.7660656495608,167.54022191400833,167.21128062875636
31.55;194.20871831319593,170.42572850035538,170.0116086235489
31.651;193.37420419712333,169.79745343079463,169.52016033954257
31.785;194.96039131472202,170.4461942257218,170.3292770221904
31.917;193.97424892703862,170.1833571769194,169.93538388173582
32.024;194.07797731569,170.2055765595463,170.0491493383743
32.124;194.14165103189492,170.72443714821765,170.4591932457786
32.258;194.00680272108843,170.71287825475017,170.61013370865587
32.325;194.33169245194563,170.34903891233006,170.05860290670418
32.426;195.22550875532417,171.42924751538098,171.02224325603407
32.56;194.8338777414839,170.69668688754084,170.2580494633691
32.695;194.3431464908149,170.29109750353274,170.234573716439
32.834;194.9561444652908,170.9512195121951,170.83090994371483
32.942;194.85042938931298,170.80844465648855,170.80367366412213
33.043;194.78383548541368,170.96676231468197,170.87852702056432
33.146;194.05327675624704,170.6199905704856,170.12611975483262
33.248;195.3979980934223,171.50142993326978,171.64609151572927
33.323;194.4351632749645,170.90108849976338,170.89943208708
33.432;195.5272076372315,171.44319809069214,171.27899761336516
