time;interpolated Pixel leftCheek
9.615;227.92938934777456,201.18325264846928,204.8332558393961
9.645;227.84955742462046,201.1502245266263,204.8833952726927
9.675;227.81665449228225,201.13116933022638,205.00860211500773
9.705;227.78375155994405,201.11211413382648,205.13380895732274
9.735;227.71760445517705,201.0507683452838,205.12964805138756
9.765;227.54222649814386,200.85046775398632,204.70042168691606
9.795;227.3668485411107,200.65016716268883,204.27119532244456
9.825;227.1914705840775,200.4498665713913,203.84196895797302
9.855;227.1720679118541,200.50340778349613,203.83603892560816
9.885;227.16999582683175,200.58515364042339,203.87714181903291
9.915;227.1679237418094,200.66689949735067,203.91824471245766
9.945;227.16585165678708,200.74864535427793,203.9593476058824
9.975;227.063861449691,200.68184902037237,203.89653498339604
10.005;226.7892853953766,200.35847981139193,203.65423192433587
10.035;226.51470934106223,200.03511060241146,203.4119288652757
10.065;226.24013328674783,199.71174139343103,203.16962580621555
10.095;226.06857368826851,199.56277930278844,203.01044535856005
10.125;225.90056638136969,199.41983125070922,202.85413120784952
10.155;225.73255907447088,199.27688319863,202.697817057139
10.185;225.50512464547833,199.036796663524,202.4567463770638
10.215;225.23807213508996,198.73195113973347,202.1591713440789
10.245;224.97101962470157,198.42710561594293,201.861596311094
10.275;224.7573638700631,198.1545875204487,201.6050105164758
10.305;224.69054919373684,197.97096985276934,201.4611451273662
10.335;224.6237345174106,197.78735218508996,201.3172797382566
10.365;224.55691984108438,197.6037345174106,201.17341434914698
10.395;224.23695133667613,197.29862011098356,200.77315172840008
10.425;223.89890041597633,196.9848273660745,200.35457501967906
10.455;223.56084949527653,196.6710346211655,199.93599831095807
10.485;223.22279857457673,196.35724187625644,199.51742160223705
10.515;223.0937627802176,196.23968705882746,199.36805792673874
10.545;222.99688315914165,196.15232269178006,199.260111640967
10.575;222.90000353806568,196.06495832473263,199.15216535519525
10.605;222.80312391698973,195.9775939576852,199.04421906942352
10.635;222.72101284537467,195.91771205191205,199.00749747784923
10.665;222.66843887268143,195.91279506868736,199.11322527466984
10.695;222.61586489998817,195.9078780854627,199.2189530714905
10.725;222.56329092729493,195.90296110223804,199.3246808683111
