time;interpolated Pixel forehead
8.344;231.23863148163173,229.20832002753528,230.86082381782268
8.374;231.34805839228238,229.36591747721863,231.13014676593383
8.404;231.45748530293307,229.52351492690195,231.39946971404498
8.434;231.56691221358375,229.6811123765853,231.6687926621561
8.464;231.25746165037586,229.2991139799958,231.23112798888698
8.494;230.7385723502387,228.64731766026983,230.43996950492772
8.524;230.2196830501016,227.9955213405439,229.64881102096845
8.554;229.94144893761685,227.61108198718074,229.16616381898766
8.584;230.14452520043702,227.76135656654318,229.3005391809638
8.614;230.34760146325715,227.9116311459056,229.4349145429399
8.644;230.55067772607728,228.06190572526805,229.56928990491605
8.674;230.1937999981408,227.73351298647032,229.15243667790625
8.704;229.8369222702043,227.40512024767258,228.73558345089643
8.734;229.48004454226782,227.07672750887485,228.31873022388663
8.764;230.69720722034538,226.6713572193951,228.0087167608029
8.794;233.2916552536852,226.19863157306858,227.79218809115454
8.824;235.88610328702504,225.7259059267421,227.57565942150615
8.854;238.20845192490947,225.29031610505925,227.30411389656805
8.884;238.08190600369525,225.1889487051695,226.5374166740226
8.914;237.95536008248104,225.08758130527974,225.77071945147716
8.944;237.8288141612668,224.98621390539,225.00402222893172
8.974;237.70226824005258,224.88484650550024,224.23732500638627
9.004;236.6551609195652,225.07037096144978,224.53654426979855
9.034;234.99434599956237,225.44715665462553,225.54637452384932
9.064;233.33353107955952,225.82394234780125,226.5562047779001
9.094;231.6727161595567,226.200728040977,227.56603503195086
9.124;230.19405247694266,226.52428174987048,228.4639318610682
9.154;230.35474993082786,226.36874760022383,228.35442786578466
9.184;230.51544738471304,226.21321345057714,228.24492387050114
9.214;230.67614483859822,226.0576793009305,228.1354198752176
9.244;230.8368422924834,225.9021451512838,228.02591587993405
9.274;230.97491187020648,225.77025652346694,227.93424275307862
9.304;230.79619118166016,225.96940520126742,228.09220178421694
9.334;230.61747049311384,226.1685538790679,228.25016081535526
9.364;230.43874980456752,226.3677025568684,228.40811984649358
9.394;230.2600291160212,226.5668512346689,228.5660788776319
9.424;230.27101685149484,226.73109339796244,228.69691986364577
9.454;230.40847686964838,226.8720645515847,228.80968215291003
9.484;230.54593688780196,227.01303570520702,228.9224444421743
9.514;230.6694993774458,227.14453999780108,229.0257268334459
9.544;230.70272793177637,227.21450969371185,229.0673898877654
9.574;230.73595648610694,227.2844793896226,229.10905294208484
9.604;230.76918504043752,227.35444908553333,229.1507159964043
9.634;230.79432316989153,227.3705942562447,229.1856091175718
9.664;230.8169989961223,227.37035804972146,229.21844182430172
9.694;230.83967482235303,227.37012184319823,229.25127453103164
9.724;230.8502363317591,227.3909401276761,229.29069713140734
9.754;230.84262636592823,227.44334014865552,229.34000457225176
9.784;230.83501640009735,227.49574016963498,229.3893120130962
9.814;230.82740643426646,227.54814019061445,229.43861945394062
9.844;230.81979646843558,227.6005402115939,229.48792689478503
9.874;230.79735140637067,227.51846909396303,229.45081124525382
9.904;230.77384669457473,227.42679289500285,229.40752251783863
9.934;230.7503419827788,227.33511669604266,229.36423379042347
9.964;230.72683727098286,227.24344049708247,229.32094506300828
9.994;230.74038760627636,227.22980649647184,229.31208119963296
10.024;230.79099298865924,227.29421469421072,229.33764220029747
10.054;230.84159837104215,227.3586228919496,229.363203200962
10.084;230.83507810898095,227.34655093137437,229.31464867470086
10.114;230.4572411580332,226.83735794175726,228.78434322342272
10.144;230.07940420708547,226.32816495214016,228.2540377721446
10.174;230.04456526984788,226.29374511723904,228.2051036888538
10.204;230.13445288305033,226.431970065871,228.33121373937658
10.234;230.22434049625278,226.57019501450299,228.45732378989936
10.264;230.41924292495625,226.79634735256653,228.7123859541983
10.294;230.7955345804342,227.17437427237547,229.19018358774696
10.324;231.09870738352868,227.4853698820365,229.5708924982555
10.354;230.9266076461305,227.36066197573626,229.32052470900297
10.384;230.75450790873228,227.235954069436,229.07015691975045
10.414;230.58240817133407,227.11124616313575,228.81978913049792
10.444;230.51394627269187,227.0819867612081,228.71960026959204
10.474;230.6244951864464,227.21759295774223,228.8788113758303
10.504;230.73504410020095,227.35319915427635,229.03802248206858
10.534;230.8455930139555,227.48880535081048,229.19723358830686
10.564;230.95614192771004,227.6244115473446,229.35644469454516
10.594;231.0130316323868,227.65908939057346,229.48729633801472
10.624;231.06395920272158,227.68255297232395,229.61499693006553
10.654;231.11488677305636,227.7060165540744,229.74269752211637
10.684;231.02943335960364,227.596009827756,229.67018372650222
10.714;230.82464658533692,227.36921658187734,229.42248234168122
10.744;230.61985981107017,227.14242333599867,229.17478095686022
10.774;230.42105820670844,226.91801511257916,228.9230576385658
10.804;230.25218245187173,226.70553200145545,228.65122465290426
10.834;230.083306697035,226.49304889033175,228.37939166724271
10.864;229.91443094219827,226.28056577920805,228.10755868158117
10.894;229.72992031858604,225.97301087315657,227.79751974293464
10.924;229.53345361885138,225.59275400627797,227.45826448729963
10.954;229.33698691911673,225.2124971393994,227.11900923166456
10.984;229.14052021938207,224.8322402725208,226.77975397602955
11.014;228.95003861600247,224.46473393574297,226.45118551127587
11.044;228.93312480691998,224.46699297188755,226.4325339820822
11.074;228.9162109978375,224.46925200803213,226.4138824528885
11.104;228.899297188755,224.4715110441767,226.39523092369478
11.134;231.33347699466782,224.1498445577589,226.1989113366778
11.164;235.64202250616523,223.5804703187934,225.86672794073712
11.194;238.52451115252353,223.23842998600236,225.5395769307701
11.224;238.07953378022384,223.42683543428507,225.2241681547416
11.254;237.63455640792412,223.61524088256775,224.90875937871306
11.284;237.18957903562443,223.80364633085043,224.59335060268455
11.314;237.15092752297159,223.9916242945458,223.9742263389567
11.344;237.14129928600775,224.1795717236278,223.3334081118217
11.374;237.41860596532578,224.25561528795336,223.04043552415473
11.404;237.91533346297697,224.24608530864168,223.0134625431397
11.434;238.41206096062817,224.23655532933,222.9864895621247
11.464;238.79834354674037,224.2410222661581,222.98818479786013
11.494;238.8217357092245,224.2914790703026,223.08407560291863
11.524;238.84512787170863,224.34193587444707,223.17996640797708
11.554;238.86852003419276,224.39239267859156,223.27585721303558
11.584;238.89191219667688,224.44284948273605,223.37174801809402
11.614;238.87336326689973,224.3498517545139,223.328284030913
11.644;238.83683958329635,224.1953735124203,223.22509656134363
11.674;238.8339593198852,224.14100756052304,223.19623001302216
11.704;238.88154418676237,224.23681004392017,223.2788448465726
11.734;238.92912905363957,224.3326125273173,223.36145968012303
11.764;238.97671392051674,224.42841501071445,223.44407451367346
11.794;239.04319939704178,224.46933772396824,223.50765811770813
11.824;239.11543723302483,224.49355789848275,223.5654496084119
11.854;239.1876750690079,224.51777807299726,223.6232410991157
11.884;239.25380936630683,224.59036708407478,223.7232462525752
11.914;239.3107883555796,224.73550934999685,223.8865719001683
11.944;239.36776734485238,224.8806516159189,224.0498975477614
11.974;239.42474633412513,225.02579388184097,224.2132231953545
12.004;239.40804468352158,225.03836981036662,224.20582146419412
12.034;239.37292287294895,225.01780415454314,224.1557378883454
12.064;239.33780106237631,224.9972384987197,224.10565431249668
12.094;239.30267925180368,224.97667284289622,224.05557073664798
12.124;239.2818258360817,224.96316921726947,224.0177630527795
12.154;239.31804599976235,224.9779137124296,224.02905893683197
12.184;239.354266163443,224.99265820758973,224.04035482088446
12.214;239.39048632712363,225.00740270274986,224.05165070493692
12.244;239.42581035260181,225.1084435264976,224.222581059521
12.274;239.46099651066427,225.22276070848957,224.41807056341764
12.304;239.48428043294825,225.28692231577543,224.5054462527798
12.334;239.49714989892612,225.3071977951934,224.49822235442429
12.364;239.510019364904,225.32747327461135,224.49099845606878
12.394;239.53140504087742,225.3531943613074,224.49433044949453
12.424;239.59537176682855,225.40614348439397,224.5504419018264
12.454;239.6593384927797,225.4590926074805,224.60655335415828
12.484;239.6314903927187,225.39085327827408,224.4809017360526
12.514;239.59708409079965,225.3139576310467,224.34226704148708
12.544;239.5626777888806,225.23706198381933,224.20363234692158
12.574;239.54704693417284,225.22132129718972,224.21104160600342
12.604;239.5439330442726,225.24635058429195,224.3158135008502
12.634;239.54081915437237,225.2713798713942,224.42058539569697
12.664;239.53770526447212,225.29640915849643,224.52535729054372
12.694;239.5280464430678,225.31172887491678,224.59963855764084
12.724;239.45948323812658,225.2396624552001,224.39950417499097
12.754;239.39092003318538,225.16759603548337,224.19936979234106
12.784;239.40939513894753,225.13633467101843,224.22388661786977
12.814;239.44962982238553,225.11527457036644,224.30456624544308
12.844;239.48986450582353,225.09421446971444,224.38524587301643
12.874;239.49537494000248,225.1001900642522,224.42698396878941
12.904;239.44879900029284,225.1467192015746,224.41030976686184
12.934;239.40222306058322,225.19324833889698,224.3936355649343
12.964;239.3635253978058,225.2359131886232,224.3798916879908
12.994;239.39573222741845,225.2437994499838,224.392520735904
13.024;239.4279390570311,225.25168571134446,224.40514978381717
13.054;239.46014588664374,225.2595719727051,224.41777883173035
13.084;239.46930314672244,225.2593575155598,224.40954576837407
13.114;239.43864751396984,225.24515090826793,224.36527814918873
13.144;239.40799188121724,225.23094430097606,224.32101053000338
13.174;239.37733624846464,225.21673769368422,224.27674291081803
13.204;239.34668061571205,225.20253108639236,224.23247529163268
13.234;239.48405033870972,225.25474607844916,224.24617199412697
13.264;239.64008954567964,225.31434124821135,224.26630917680785
13.294;239.6985694533856,225.40078117379684,224.41028730418836
13.324;239.7005676615177,225.5027628001221,224.6259628206055
13.354;239.67803616622578,225.58696577988567,224.76130989855355
13.384;239.59826869627787,225.62968525100536,224.70922395340702
13.414;239.51850122632993,225.67240472212504,224.65713800826052
13.444;239.4920468901184,225.65808963822752,224.6079132137368
13.474;239.492249120775,225.61525727682144,224.56011899452443
13.504;239.4924513514316,225.57242491541535,224.5123247753121
13.534;239.49265358208822,225.52959255400924,224.46453055609976
13.564;239.49285581274484,225.48676019260316,224.41673633688742
13.594;239.48760046948422,225.44002532842177,224.3778975541703
13.624;239.4673367979513,225.38255858160838,224.36368622181496
13.654;239.4470731264184,225.325091834795,224.34947488945963
13.684;239.42680945488547,225.2676250879816,224.33526355710433
13.714;239.39259543630473,225.14551195319953,224.27711574873746
13.744;239.35790037127407,225.02116963262543,224.21745288947366
13.774;239.32320530624338,224.89682731205136,224.15779003020987
13.804;239.33403447161186,224.91341455053967,224.23073180791175
13.834;239.37521312391308,225.02395482840294,224.39207667692412
13.864;239.4163917762143,225.1344951062662,224.55342154593646
13.894;239.45790092520147,225.23430942914797,224.68023246337125
13.924;239.50073206093248,225.29121993210373,224.66890757449582
13.954;239.54356319666348,225.34813043505952,224.65758268562038
13.984;239.5863943323945,225.4050409380153,224.64625779674495
14.014;239.6292254681255,225.46195144097106,224.63493290786948
14.044;239.54189530274044,225.40922768911494,224.56990953343555
14.074;239.3987817225914,225.3095178280537,224.4818725223337
14.104;239.25566814244232,225.20980796699249,224.39383551123186
14.134;239.20044962682468,225.16666570454544,224.39243025440902
14.164;239.3210212402699,225.23665863932678,224.56428850614432
14.194;239.43413768470933,225.30326806824183,224.71452517510065
14.224;239.48015760809633,225.33942594436007,224.67016759904635
14.254;239.52617753148334,225.3755838204783,224.62581002299203
14.284;239.57219745487035,225.41174169659658,224.58145244693773
14.314;239.52849260180997,225.427071286506,224.51064838024922
14.344;239.45748020809174,225.43606183278663,224.43179538162852
14.374;239.38646781437347,225.44505237906728,224.35294238300784
14.404;239.35284968258046,225.42223297856646,224.33457133744525
14.434;239.37532294367534,225.35169865789345,224.40692322146984
14.464;239.3977962047702,225.28116433722045,224.4792751054944
14.494;239.42026946586506,225.21063001654744,224.55162698951895
14.524;239.4290463020821,225.1829126154675,224.53159547892793
14.554;239.4350838533236,225.16375859830615,224.49308728941378
14.584;239.44112140456508,225.14460458114482,224.45457909989966
14.614;239.40098204652077,225.11410695335147,224.4073977753421
14.644;239.29157732454775,225.06659390961005,224.3472067482194
14.674;239.18217260257472,225.01908086586866,224.28701572109674
14.704;239.0649573121161,224.9719408696573,224.29790465626897
14.734;238.72123553557435,224.9356192518168,226.37011249799355
14.764;238.3775137590326,224.89929763397635,228.44232033971812
14.794;238.52091235313938,224.87590031727387,227.5318763573982
14.824;238.73925254273053,224.85449135459265,226.16256286368682
14.854;238.95759273232167,224.8330823919114,224.79324936997543
14.884;239.10423188977595,224.85541782187886,224.1755299937418
14.914;239.1791700150933,224.921497644495,224.30940473498597
