time;interpolated Pixel leftCheek
11.194;222.37121039956844,197.06919389776687,200.2241450123409
11.224;222.01282642827726,197.35876451279654,199.86132588595416
11.254;221.6544424569861,197.64833512782624,199.4985067595674
11.284;221.2960584856949,197.93790574285592,199.13568763318065
11.314;221.404788710166,198.05806142155416,198.54872504726643
11.344;221.5468842343344,198.16611603337157,197.9457522142431
11.374;221.78892450196474,198.0549600755349,197.43659567491545
11.404;222.1073931028307,197.77617250560982,196.99918100723744
11.434;222.42586170369668,197.49738493568472,196.56176633955943
11.464;222.6823670288008,197.30248161547664,196.24250438834707
11.494;222.73527873354456,197.3831979729101,196.31145850552184
11.524;222.78819043828832,197.46391433034358,196.3804126226966
11.554;222.8411021430321,197.54463068777704,196.44936673987138
11.584;222.89401384777585,197.62534704521053,196.51832085704615
11.614;222.8350090006193,197.59487676644633,196.56508269642268
11.644;222.72803991693402,197.51675507216885,196.60233355959994
11.674;222.71063633054598,197.49176355993103,196.67014449795596
11.704;222.82758099010383,197.5464673207527,196.78379554908008
11.734;222.94452564966167,197.60117108157436,196.89744660020418
11.764;223.06147030921952,197.65587484239603,197.0110976513283
11.794;223.23550331206087,197.87481916304586,197.1518375799087
11.824;223.42691102807544,198.14374974103472,197.30082194945402
11.854;223.61831874409,198.41268031902356,197.44980631899938
11.884;223.75945857722994,198.60276990994984,197.6078535211329
11.914;223.82519658605793,198.6745980202823,197.77949497214874
11.944;223.8909345948859,198.74642613061474,197.95113642316457
11.974;223.95667260371388,198.8182542409472,198.12277787418037
12.004;224.05074946132967,198.89472128769006,198.21765012264297
12.034;224.15191103114245,198.97234806853552,198.29333007046722
12.064;224.25307260095525,199.04997484938096,198.36901001829148
12.094;224.35423417076802,199.12760163022642,198.44468996611573
12.124;224.4321086984738,199.20438369432807,198.54775121421383
12.154;224.41683505775168,199.2777868914545,198.76033766340734
12.184;224.40156141702954,199.3511900885809,198.97292411260082
12.214;224.3862877763074,199.42459328570732,199.1855105617943
12.244;224.37339284250703,199.4514100864098,198.94239230976385
12.274;224.36086386361774,199.4710597492009,198.62916564216047
12.304;224.36178605105408,199.48683025190275,198.55411867717385
12.334;224.37447800902538,199.4992064895265,198.68747895197683
12.364;224.3871699669967,199.51158272715028,198.8208392267798
12.394;224.39734696714794,199.512518814772,198.90548574346752
12.424;224.39494917819883,199.45625415238362,198.74656346957894
12.454;224.39255138924972,199.39998948999522,198.58764119569034
12.484;224.43423864458768,199.4665106131221,198.61976523724394
12.514;224.4790748316604,199.54180214950003,198.6655354441863
12.544;224.52391101873312,199.617093685878,198.71130565112864
12.574;224.48162456342945,199.6069310178698,198.72636217978186
12.604;224.38125634654148,199.53979888027087,198.72094292290902
12.634;224.28088812965353,199.47266674267192,198.71552366603615
12.664;224.1805199127656,199.40553460507297,198.7101044091633
12.694;224.09587747898456,199.33846613612164,198.69252142272947
12.724;224.15276709316606,199.27197068499868,198.565464870247
12.754;224.20965670734756,199.20547523387572,198.43840831776456
12.784;224.19773931578644,199.0847470874221,198.29385844160262
12.814;224.16862017278967,198.95046076713584,198.1449352345208
12.844;224.13950102979294,198.81617444684954,197.99601202743898
12.874;224.10114231012923,198.78794401405582,197.94308477730323
12.904;224.04892422546519,198.9187974125009,198.03415146258658
12.934;223.99670614080114,199.04965081094596,198.12521814786996
12.964;223.95951920420006,199.17344033035522,198.21941105584722
12.994;224.05761260016578,199.23365493844219,198.34173996806976
13.024;224.15570599613153,199.29386954652912,198.46406888029227
13.054;224.25379939209725,199.3540841546161,198.58639779251482
13.084;224.32281991617734,199.4159258705801,198.65228975623432
13.114;224.3416236615458,199.4805780456046,198.62069971799406
13.144;224.36042740691428,199.54523022062907,198.58910967975382
13.174;224.37923115228276,199.60988239565353,198.55751964151355
13.204;224.39803489765123,199.67453457067802,198.5259296032733
13.234;224.402820856813,199.65718203577768,198.70775540168265
13.264;224.40604928417406,199.63071786644127,198.91329407083086
13.294;224.4765817402746,199.74895476089614,199.10042477129645
13.324;224.586079686698,199.95096595544072,199.27689822673526
13.354;224.708030788146,200.1161969328231,199.43613275346243
13.384;224.85903925131802,200.19560740349374,199.55514311319575
13.414;225.01004771449007,200.27501787416435,199.67415347292908
13.444;225.01787933465212,200.24136954096593,199.70916919019845
13.474;224.95412253330923,200.151191805833,199.70218758623582
13.504;224.89036573196634,200.06101407070008,199.69520598227322
13.534;224.82660893062342,199.97083633556716,199.68822437831062
13.564;224.76285212928053,199.88065860043423,199.681242774348
13.594;224.67738689248372,199.7727271088358,199.62525173613847
13.624;224.53222345818872,199.61597278695712,199.43448475374996
13.654;224.38706002389372,199.45921846507846,199.24371777136145
13.684;224.24189658959875,199.3024641431998,199.05295078897294
13.714;224.1529440985573,199.1356052955548,198.81064606271076
13.744;224.0659299159039,198.9683980159868,198.56656417286675
13.774;223.97891573325052,198.8011907364188,198.32248228302274
13.804;223.95495780192542,198.78604298027614,198.21149495920173
13.834;223.97303737148582,198.87226823975038,198.18923734606273
13.864;223.99111694104622,198.95849349922463,198.16697973292372
13.894;224.02699625319187,199.04813593279596,198.18321681409955
13.924;224.1340745356784,199.15144706275547,198.35343267253467
13.954;224.24115281816495,199.254758192715,198.52364853096978
13.984;224.3482311006515,199.3580693226745,198.69386438940492
