time;Pixel leftCheek
21.892;223.21800643086817,198.2512325830654,197.55755627009646
21.998;223.02114347357065,197.9108953613808,197.37432578209277
22.149;222.89833800992878,197.93459961148284,197.30671271314483
22.283;222.39482200647248,197.2403451995685,196.69816612729235
22.385;222.22050622050622,196.88953238953238,196.4959244959245
22.454;222.42649572649572,197.3008547008547,196.7758547008547
22.526;222.44872340425533,197.55063829787235,196.84425531914894
22.597;222.44819532908704,197.51910828025478,196.73036093418258
22.704;222.4755838641189,197.49893842887474,196.66008492569003
22.838;222.6595972579263,197.45329905741218,196.73200514138819
22.938;222.30495091762697,197.31711481007255,196.6440460947503
23.039;221.89538855678907,196.96690862510675,195.90350128095645
23.139;221.86524064171124,197.07486631016042,196.03828877005347
23.24;221.89339884640034,196.9305703909421,196.12839136936552
23.341;221.8430913348946,196.74025974025975,195.73067915690868
23.441;222.49125053350406,197.53905249679897,196.70422535211267
23.514;222.26669520547946,197.60466609589042,196.62392979452054
23.581;222.55916969826663,197.7491975176546,196.72758399315214
23.679;222.2303575251552,197.53436095054593,196.61507171911796
23.779;222.46193218170185,197.84111750906376,197.10769886969504
23.881;222.71047578408363,198.05035203755068,197.20396842329848
23.98;222.32255300920968,197.5240950953095,196.6352538016706
24.081;222.13662481379018,197.02404766971696,196.22579272185573
24.183;221.74344768804602,196.70530577455784,196.1218836565097
24.252;221.80325064157398,196.5568862275449,196.01026518391788
24.367;222.22806264750054,197.14009869126798,196.4898090538511
24.503;222.17900973338976,197.5071942446043,196.67139229792636
24.605;222.90588988476313,198.2516005121639,197.42274861288945
24.678;222.9734304692522,198.0595671737733,197.34347546603814
24.744;222.50669785243463,197.73740165851584,197.06038698702955
24.814;222.94631444397103,198.46932253941202,197.64827439284193
24.916;223.07577692635164,198.54980842911877,197.6064282673478
25.068;222.8227205415697,197.7926803469431,197.37994499682674
25.271;222.8710987601539,197.7988456605387,197.05579307396323
25.373;223.12756756756758,198.28972972972974,197.71437837837837
25.507;223.40812379110253,198.6963249516441,198.2716526971846
25.612;223.19225778546712,198.68317474048442,197.88884083044982
25.747;222.2796737497317,197.5458252843958,196.80167417900836
25.848;222.4798378493706,197.8963089396202,197.4813313420098
25.917;222.48453168337957,197.69916791124388,197.01258800938766
25.984;222.0017126953543,196.9905801755513,196.29501177478056
26.085;221.6880635465865,196.8162301416917,196.27737226277372
26.162;221.92060451255853,197.32311621966795,196.48850574712642
26.298;222.34395040615647,197.61158614792646,196.80055579307395
26.399;222.78143841515936,198.45865633074936,197.80986218776917
26.5;223.14027630180658,198.6259298618491,197.88225292242296
26.61;223.2529224229543,199.01721572794898,198.6712008501594
26.71;222.75546506643806,198.67102443206173,197.7389627089584
26.812;222.52852529601722,197.8232508073197,197.36017222820237
26.878;222.22512864493996,197.31325042881647,196.50300171526587
26.955;221.84794696321643,196.8267750213858,195.97968349016253
27.09;221.86866508518438,196.6797498382575,196.1988354539573
27.191;222.22342264477095,197.09312878133102,196.30790838375108
27.257;222.26534140017287,197.31957649092482,196.82757130509938
27.347;222.25215703192407,197.15358067299397,196.6934857635893
27.482;221.88797931925893,196.92826367944852,196.09392503231365
27.551;221.73448866067608,196.90008557980318,195.99914420196833
27.686;221.68796751442616,197.0055567428938,195.92498397093397
27.825;221.6424178154825,196.55906680805938,195.94273594909862
27.925;221.2671464860288,196.03704487722268,195.6320914479255
28.098;220.67285531370038,195.76653862569356,195.1419120785318
28.266;221.06775650677565,195.92406969240696,195.72316627231663
28.367;221.3267818574514,196.1673866090713,195.82872570194385
28.469;221.4650295987722,196.26836220127166,196.01819776364832
28.541;220.38251247559123,195.22000433933607,194.86504664786287
28.642;219.93942683456362,194.7494572297004,194.19604863221883
28.777;220.37494553376905,195.15490196078431,194.41633986928105
28.879;219.79526523454626,194.57277509864096,194.16045594037703
28.98;220.19197207678883,194.6703752181501,194.59620418848166
29.08;220.59346722577797,194.87684837784153,194.63540057382477
29.18;220.16275984077842,194.77266696152145,194.46837682441398
29.247;220.72824661128115,195.09947529514648,194.74114560559684
29.348;220.66025360734588,195.32094446873634,194.66878006121556
29.451;221.18213814342278,195.88407391113066,195.51319841619005
29.553;221.19759036144578,195.86286966046003,195.05958378970428
29.654;220.2280739466896,195.63220120378332,194.84006878761824
29.755;221.92351523120755,196.87157571772957,196.58820951128644
29.856;221.62541217850077,196.10859529566937,195.94636183776655
29.958;220.2374618403838,195.0534234627126,194.5750109027475
30.091;220.60227770477442,195.13315812527375,194.7527376259308
30.156;220.47101449275362,195.1897233201581,194.95937637241985
30.223;220.29248152976967,194.8129074315515,194.35462842242504
30.325;220.44444444444446,195.42990451388889,194.70920138888889
30.394;221.2353836122582,195.70028254727234,195.26103021082375
30.496;220.56557554736614,195.30977671797095,194.6585735963581
30.631;220.79821700369646,195.69362904979343,195.08349641226354
30.733;220.6437636761488,195.44792122538294,195.02231947483588
31.234;221.3022145028224,196.2505427702996,195.8187147199305
31.37;221.18931297709923,195.97491821155944,195.5618320610687
31.504;220.97616444347256,195.72600043734965,195.2873387273125
31.605;221.45190839694658,196.18996728462378,195.92191930207198
31.711;220.6879789796365,195.6660827676812,195.412743595358
31.879;220.5146801051709,194.81003505696756,194.42944785276075
31.984;219.84869144490872,194.71805586100726,194.22146470200133
32.085;220.52882922535213,195.33230633802816,194.5193661971831
32.187;220.4811423588402,195.1009374318727,194.40592980161327
32.353;220.5740944017563,195.2906695938529,194.61405049396268
32.453;220.57459412022817,195.36178148310663,194.6860465116279
32.586;220.6677559912854,195.70174291938997,194.8488017429194
32.693;220.3123629986848,195.44125383603682,195.21547566856643
32.828;220.57058307759755,195.28386672512056,194.99320473476544
32.932;220.47667829119442,195.09285091543157,194.58238884045335
33.034;220.1582292351523,194.86478194170502,194.21433267587113
33.168;221.09561403508772,195.97850877192982,195.44934210526316
33.269;220.36919691969197,195.22706270627063,194.6127612761276
33.37;220.0774263904035,195.10032715376227,193.9494002181025
33.47;220.29151210997162,195.53523892646737,194.61029893083133
33.572;220.86650591845682,196.6679088119246,195.7786058746164
33.685;220.54953764861295,195.80801409070895,195.23557904007046
33.818;220.3504816112084,195.2795534150613,194.20906304728547
33.919;220.38176197836168,195.22587767719142,194.50850077279753
34.02;220.41133495682976,195.39805180429488,194.5972990923179
34.12;220.89124668435014,196.2712201591512,195.43059239610963
34.255;221.48260580545093,196.79392865056502,196.16374916906713
34.324;220.92304280328233,196.39809270348192,195.25105344865824
34.425;221.0754339118825,196.53671562082778,196.01824655095683
34.56;220.71130820399114,196.0452328159645,195.7031042128603
34.694;220.95327723649248,196.18866253321522,195.42116917626217
34.766;220.62029824170932,196.02047629646117,194.8686846205208
34.867;220.79186920017676,196.0989836500221,195.4840919133893
35.021;221.4687222715173,196.46007098491572,196.0119787045253
35.255;220.8943053401285,196.34766230888545,195.36383780190562
35.392;220.56813138038171,196.30315135375056,195.26653351087438
35.525;219.56512981199643,194.62175470008953,193.6031781557744
35.69;218.99511870423785,193.981806079432,192.64055913024185
35.926;219.46774911032028,194.4288256227758,193.6814946619217
36.032;219.06625304675381,194.07090627077332,193.30046532240195
36.17;219.65606936416185,195.0153401511783,194.09582036460648
36.311;219.47937131630647,194.8183802663174,193.72866186422178
36.446;220.02782003912193,195.59791349706586,194.77635296674637
36.58;219.55386949924127,194.5011922826794,193.77823542163452
36.687;220.12906019922045,194.91121697704634,194.48462537895193
36.826;220.10636900853578,195.33005033924272,195.25279054497702
37.115;219.99411636522117,195.39660056657223,194.54129439965135
37.295;219.38409586056645,194.75882352941176,193.74313725490197
37.463;220.21758145637438,195.56177563962387,194.90815657117867
37.746;219.6393693890957,194.72783008539523,194.11648784760237
37.913;219.36881625441697,194.15083922261485,193.57773851590105
38.115;219.48994755244755,194.6402972027972,194.13658216783216
38.249;219.650361921474,194.6545295020838,194.21144987935952
38.354;220.10797196671047,195.12527376259308,194.68812965396407
38.487;220.1581385090428,195.2878253198059,195.01918835465372
38.654;220.02982766239506,194.8429076447194,194.40565620857268
38.761;219.73264499121265,194.51713532513182,194.05272407732863
38.862;220.05771340794382,195.00241386877332,194.37963572525786
39.003;219.90841530054644,195.1184699453552,194.73005464480875
39.143;220.60216240070608,195.90026478375992,195.38371579876434
39.279;220.17032967032966,195.5791208791209,195.29538461538462
39.383;220.40548308644705,195.1720097280566,194.7094848551846
39.523;220.04834774894655,194.60966954978932,194.31581281880682
39.633;220.49049513704685,195.09394341290894,195.3837312113174
39.768;220.77454224575337,195.93050959629383,196.11669975733508
39.901;221.295168762409,196.4760644165012,196.22722258989631
40.03;220.94742679680567,196.12200532386868,196.06632653061226
40.168;220.43730615861764,195.75963668586618,195.15573770491804
40.272;219.5326710816777,194.6364238410596,194.5759381898455
40.406;220.12558242733525,195.05946305746616,194.82005768804083
40.513;219.83389299306023,194.45153346765167,194.0176852473696
40.62;220.65419094576424,195.72725235320485,195.4251456745854
40.761;220.72836752899198,196.0434879571811,195.96900089206065
40.896;220.6328107750055,195.74563921395452,195.58533892691543
40.996;220.24210760337928,195.63094708759448,195.2830146731881
41.097;220.33452115812918,195.5554565701559,195.0086859688196
41.231;220.57898274703115,195.657853461797,195.2110687878109
41.399;220.58823529411765,195.62191288729232,195.2139649753031
41.507;220.3518477043673,195.26942889137737,194.90615901455766
41.607;221.00134018315836,196.27563100290374,195.8780433325888
41.715;220.53102068045362,195.8972648432288,195.38959306204137
41.884;220.47877306068014,195.49055345632362,195.07334963325184
41.998;220.27365842796704,195.52839011356045,195.34936539746158
42.131;220.318656882366,195.58283299977762,195.53035356904604
42.265;219.6447807700868,194.83485421767193,194.26841753839307
42.411;219.92563644484144,195.318445734703,194.71907101384548
42.545;220.14900736114208,195.47022083426276,194.96520187374526
42.647;220.36232206405694,195.91214412811388,195.4228202846975
42.749;220.6959731543624,196.203355704698,195.5496644295302
42.85;220.61274399820508,196.11554857527486,195.49001570563158
42.959;220.39644304367403,195.85547050877983,195.20283656010807
43.099;220.2638326585695,195.70490328385065,195.40058479532163
