time;interpolated Pixel rightCheek
12.394;190.90519766191832,171.59028942454694,170.05861766583166
12.424;191.1827786177542,171.93218271164042,170.52435187398774
12.454;191.46035957359007,172.27407599873388,170.99008608214382
12.484;191.41077143523108,172.20109548929995,170.91330444976794
12.514;191.3378140758582,172.0984811372569,170.79777168592548
12.544;191.26485671648533,171.99586678521385,170.68223892208303
12.574;191.45147282526023,172.17216565986072,170.905939355472
12.604;191.81113791280035,172.53440668563422,171.3557952536819
12.634;192.17080300034044,172.89664771140772,171.80565115189177
12.664;192.53046808788056,173.25888873718122,172.25550705010167
12.694;192.89083393386178,173.61885866570668,172.66300430632324
12.724;193.2575066058131,173.95838871899994,172.68927378465017
12.754;193.62417927776443,174.2979187722932,172.71554326297706
12.784;193.06648402495958,173.78800389394934,172.1989925197419
12.814;192.27769679096568,173.06572778269617,171.54673672111622
12.844;191.48890955697178,172.34345167144303,170.89448092249052
12.874;191.17319133002377,172.06550589957678,170.65251949431615
12.904;191.56707661364456,172.45405563679083,171.0259996218188
12.934;191.96096189726535,172.84260537400488,171.39947974932147
12.964;192.29750680472543,173.17342228582652,171.71744956084967
12.994;192.11798832673907,172.98464376911636,171.5358265286079
13.024;191.9384698487527,172.7958652524062,171.35420349636615
13.054;191.75895137076634,172.60708673569604,171.17258046412437
13.084;191.59948211484638,172.42700805258502,170.9851114923725
13.114;191.47464333340474,172.2619563547816,170.7875449887395
13.144;191.3498045519631,172.09690465697818,170.58997848510654
13.174;191.22496577052146,171.93185295917476,170.39241198147357
13.204;191.10012698907983,171.76680126137134,170.1948454778406
13.234;190.2563350019967,171.08085520207715,169.42328730928625
13.264;189.33265932539783,170.33703199150617,168.58795228907397
13.294;189.8797494082201,170.96946645184173,169.2009491231834
13.324;191.2783354570231,172.3986816690179,170.6524538729528
13.354;192.22843285092128,173.3313402668159,171.64761132757442
13.384;192.13205671670826,173.10536675273144,171.57795842685132
13.414;192.03568058249527,172.879393238647,171.5083055261282
13.444;192.05398719928704,172.83304820412937,171.5344562317233
13.474;192.12963519158117,172.87651740939512,171.60850874047753
13.504;192.20528318387534,172.91998661466084,171.68256124923178
13.534;192.28093117616947,172.9634558199266,171.756613757986
13.564;192.35657916846364,173.00692502519234,171.83066626674022
13.594;192.41388619650496,173.06468662900272,171.86239692729384
13.624;192.42075557285094,173.16175232881073,171.77774250529578
13.654;192.42762494919694,173.25881802861875,171.6930880832977
13.684;192.43449432554294,173.35588372842676,171.60843366129964
13.714;192.9884253868142,173.82765657399128,172.09234033565068
13.744;193.56122064411738,174.31235035561633,172.59585256504826
13.774;194.13401590142055,174.79704413724141,173.09936479444582
13.804;193.75277755631572,174.4285649761127,172.80464834519282
13.834;192.73551680960557,173.4913038531482,171.97777944350608
13.864;191.71825606289542,172.55404273018365,171.15091054181937
13.894;191.0253652825153,171.9322019688788,170.6093281051656
13.924;191.62995436745538,172.57204265421262,171.20889152864362
13.954;192.23454345239549,173.2118833395465,171.80845495212168
13.984;192.83913253733556,173.85172402488033,172.4080183755997
14.014;193.44372162227563,174.49156471021416,173.00758179907774
14.044;193.4894451483267,174.50440265985304,172.9740679763459
14.074;193.2956548634253,174.24852515133693,172.66923533380987
14.104;193.10186457852393,173.99264764282083,172.3644026912738
14.134;192.3651335397951,173.26311327316515,171.53906824739616
14.164;190.5425209934114,171.58626518123032,169.67273020083536
14.194;189.00266664291223,170.175836498092,168.09372159213595
14.224;190.0076360553742,171.1631824941223,169.10067792418891
14.254;191.0126054678362,172.15052849015262,170.1076342562419
14.284;192.0175748802982,173.13787448618294,171.1145905882949
14.314;192.71085925522596,173.7513831549443,171.8041208501367
14.344;193.30928296655637,174.2511152458412,172.39704317756642
14.374;193.90770667788675,174.7508473367381,172.98996550499612
14.404;194.0824753388334,174.85943316850538,173.14796329865882
14.434;193.62176142420444,174.38129961157816,172.65357429167105
14.464;193.1610475095755,173.90316605465094,172.15918528468325
14.494;192.70033359494653,173.42503249772375,171.66479627769544
14.524;192.28333025046436,173.00153837991675,171.28793928371243
14.554;191.87506902001158,172.5889721499338,170.93458869233038
14.584;191.46680778955877,172.17640591995087,170.58123810094833
14.614;191.42967485805974,172.13578055939576,170.58479431541443
14.644;191.9492343749913,172.65306650298243,171.12371073865273
14.674;192.46879389192287,173.1703524465691,171.66262716189107
14.704;192.93922389558526,173.66201977415204,172.24630790730552
14.734;191.98489801444197,173.4107472376274,174.1281539958278
