time;Pixel forehead
29.247;237.7778927758228,223.11778099772303,222.6636307182778
29.348;237.6806044297247,223.07058580004139,222.51769819913062
29.451;237.42156456953643,222.62562086092714,222.03269867549668
29.553;237.82642217128569,223.03646593040216,222.39674932277558
29.654;237.9337062357572,223.48456598301223,223.04785581106276
29.755;237.94761106454317,223.41324392288348,223.14668901927914
29.856;237.66237541528238,223.06499169435216,222.25747508305648
29.958;238.02865448504983,223.40344684385383,222.86461794019934
30.091;237.58662235147486,223.08745326132114,222.40049854590777
30.156;237.76559585492228,223.0122279792746,222.31668393782383
30.223;238.05800125182557,223.71625286876696,223.2856248696015
30.325;237.9549436795995,223.39841468502294,222.76971214017522
30.394;238.12924744632062,223.45465916197622,222.86283093600167
30.496;238.10445886539668,223.5373665480427,222.96713418463472
30.631;238.3675338189386,223.9244536940687,223.25806451612902
30.733;238.1609003751563,223.76010837849103,222.97894956231764
31.234;237.98072491095746,223.7839932956212,223.34129478315523
31.37;238.00957734749116,223.76014990630856,223.40807828440558
31.504;238.38820587622422,224.06793081892062,223.51010627214004
31.605;238.38274196934705,224.18748687801806,223.75372664287215
31.711;238.26433389544687,223.92242833052276,223.70952782462058
31.879;238.26811442889957,223.95259970766338,223.55147212361663
31.984;238.20798494983276,223.91701505016724,223.54954013377926
32.085;238.46415094339622,223.93752620545072,223.9293501048218
32.187;238.6410417979416,224.29384583070782,223.877756773787
32.353;238.24159663865547,224.23193277310924,223.69285714285715
32.453;238.5173712850565,224.49246546672248,224.1113436584345
32.586;238.43971482491088,224.35059760956176,223.79681274900398
32.693;238.290004199916,224.18164636707266,223.7389752204956
32.828;238.40033712600084,224.39043404972608,223.71365360303415
32.932;238.45854377104376,224.3114478114478,224.15509259259258
33.034;238.61916771752837,224.54644808743168,224.28247162673392
33.168;238.47902171621337,224.4549862955935,223.92536369386465
33.269;238.32234199957725,224.31071655041217,223.69012893679982
33.37;238.5681434599156,224.61097046413502,224.1746835443038
33.47;238.65637555508565,224.70776062592515,224.0429266229647
33.572;238.7921693121693,224.77227513227513,224.41291005291006
33.685;238.443949044586,224.7131634819533,223.98131634819532
33.818;238.4362901510317,224.66539034248032,224.03488619442672
33.919;238.24957337883959,224.14633105802048,223.4601109215017
34.02;238.1535500427716,224.03314798973483,223.50855431993156
34.12;238.36205432937183,224.4511884550085,224.15810696095076
34.255;238.38044885627968,224.49309451877429,223.8936124298662
34.324;238.4789214637278,224.43441044297026,223.82965974748555
34.425;238.4665515753129,224.73327578765645,224.2192490289167
34.56;238.41233347657928,224.62784701332188,224.0687580575849
34.694;238.64190639759553,224.71232288535853,224.1393301846286
34.766;238.51966963703543,224.54379482721149,223.99043686155184
34.867;238.45979247730222,224.27107652399482,224.03674881106787
35.021;238.27666451195864,224.63456151691446,223.90368455074338
35.255;238.40089801154588,224.6574727389352,224.10006414368183
35.392;238.59840825984082,224.9483759948376,224.40116154011616
35.525;238.06288478452066,224.32695690413368,223.54595426561127
35.69;238.42941048509897,224.47792038285837,223.88013922123125
35.926;238.24835598421745,223.9934239368698,223.3581762384919
36.032;238.29837486457205,224.1733477789816,223.83986998916578
36.17;237.89655172413794,223.62680052378875,223.31427324312529
36.311;238.58361558001693,224.9381879762913,224.4201947502117
36.446;238.75327695560253,224.89344608879492,224.36046511627907
36.58;238.57611438183346,225.02985702270817,224.7224558452481
36.687;238.79484492875105,224.90528080469406,225.02409891031013
36.826;238.5875585854282,224.85236472092032,224.76224968044312
37.115;238.9042283298097,225.17040169133193,224.95644820295982
37.295;238.82503165892783,224.92802870409454,224.6357112705783
37.463;238.6192283364959,224.97448872021928,224.6696183849884
37.746;238.43504020313162,224.35188319932288,224.42361404993653
37.913;238.48694736842106,224.19052631578947,224.05747368421052
38.115;238.15239906996408,224.42887338829001,223.98097653772987
