time;interpolated Pixel forehead
7.232;247.22392979936043,237.31978880892376,238.88298878930712
7.262;247.3569270140997,237.54529339138287,239.05964098666905
7.292;247.48992422883896,237.77079797384198,239.236293184031
7.322;247.60800544108017,237.97674106168236,239.40619342704082
7.352;247.67707693082775,238.11841066720405,239.55390867717935
7.382;247.74614842057537,238.26008027272576,239.7016239273179
7.412;247.81521991032295,238.40174987824744,239.84933917745647
7.442;247.88429140007054,238.54341948376913,239.997054427595
7.472;247.86656211341983,238.53540346774787,239.97632034309314
7.502;247.79857974569637,238.44072735504383,239.85806295958892
7.532;247.73059737797294,238.34605124233983,239.7398055760847
7.562;247.6626150102495,238.2513751296358,239.62154819258052
7.592;247.58180903630287,238.12877238885775,239.47601141863544
7.622;247.3855906063473,237.75482999541353,239.08496013072272
7.652;247.18937217639177,237.3808876019693,238.69390884281
7.682;246.99315374643623,237.00694520852508,238.3028575548973
7.712;246.88084615420223,236.81065378814785,238.10468085582818
7.742;246.96433051665187,237.02888130492687,238.35654486406088
7.772;247.04781487910154,237.2471088217059,238.60840887229358
7.802;247.13129924155118,237.46533633848492,238.86027288052625
7.832;247.0442411489577,237.26649908984265,238.6883860729771
7.862;246.95130228205235,237.05328029756518,238.501887168332
7.892;246.85836341514704,236.8400615052877,238.31538826368688
7.922;246.8274635629181,236.7429533955013,238.24517235705883
7.952;247.0004061874829,237.02735181389988,238.55702915820106
7.982;247.1733488120477,237.31175023229846,238.8688859593433
8.012;247.3462914366125,237.59614865069702,239.18074276048551
8.042;247.33244802645726,237.5691659296498,239.171542338017
8.072;247.28124740935803,237.47990698071345,239.09813047082633
8.102;247.23004679225878,237.39064803177706,239.02471860363565
8.132;247.17884617515955,237.3013890828407,238.951306736445
8.162;247.1154391430672,237.20153936360137,238.86311565792698
8.192;247.02761928098855,237.08050810375607,238.7453661567543
8.222;246.93979941890993,236.9594768439108,238.62761665558162
8.252;246.8519795568313,236.8384455840655,238.50986715440894
8.282;246.89166681159986,236.87694241883062,238.57851360451403
8.312;246.9632308455802,236.95532127724832,238.6937590424386
8.342;247.03479487956054,237.03370013566604,238.80900448036314
8.372;247.11803811826277,237.18432346104916,238.93314163554132
8.402;247.21462901950437,237.41751189153564,239.0674407532951
8.432;247.31121992074594,237.65070032202215,239.20173987104886
8.462;247.39390252147246,237.8530807245905,239.3163318916467
8.492;247.28186891498783,237.62414873630547,239.15502455206146
8.522;247.1698353085032,237.3952167480204,238.9937172124762
8.552;247.14626979988708,237.37591545086286,238.98271497729846
8.582;247.1363147678661,237.3888650292634,238.99483660433728
8.612;247.12635973584514,237.40181460766397,239.00695823137607
8.642;247.1154060378603,237.4123736249273,239.0209542256336
8.672;247.10272737139246,237.41880349113552,239.03818776326898
8.702;247.0900487049246,237.42523335734373,239.05542130090436
8.732;247.07737003845676,237.43166322355196,239.0726548385397
8.762;247.0646913719889,237.43809308976017,239.08988837617508
8.792;247.01688772385148,237.2418855937611,238.9044181019073
8.822;246.965181299973,237.02316283529458,238.6964251818725
8.852;246.91347487609454,236.80444007682803,238.48843226183774
8.882;246.86176845221604,236.5857173183615,238.28043934180295
8.912;246.73962728557655,236.32199289604253,238.03387224347296
8.942;246.5253791476341,235.99942014407037,237.73686198891073
8.972;246.3111310096917,235.67684739209824,237.43985173434854
9.002;246.0882567958944,235.3547087948593,237.1382549162909
9.032;245.6152263823056,235.04516068488402,236.70364775686556
9.062;245.14219596871678,234.73561257490877,236.26904059744024
9.092;244.669165555128,234.4260644649335,235.8344334380149
9.122;244.38295361460652,234.13230829251594,235.4936505468221
9.152;244.19015091061874,233.84644808887725,235.19977978974555
9.182;243.99734820663096,233.56058788523856,234.905909032669
9.212;243.90311616415295,233.4280538989417,234.7644891753969
9.242;244.00602544469447,233.6021723473285,234.9279711177337
9.272;244.10893472523603,233.77629079571528,235.0914530600705
9.302;244.21184400577755,233.95040924410208,235.2549350024073
9.332;244.32972013492446,234.20295992674875,235.48352674272644
9.362;244.44759626407134,234.45551060939542,235.7121184830456
9.392;244.56547239321824,234.7080612920421,235.94071022336476
9.422;244.82767619047618,235.1102137076796,236.37702675474813
9.452;245.1259619047619,235.54976655656483,236.8652744838976
9.482;245.42424761904763,235.98931940545006,237.35352221304706
9.512;245.6302329654931,236.29946137677354,237.71293133648624
9.542;245.73073217726397,236.46170520231215,237.92509633911368
9.572;245.4467422177067,235.9801808521685,237.45722910859683
9.602;244.10540703699706,233.72829401889862,235.11927323693314
9.632;242.76407185628742,231.47640718562874,232.78131736526947
9.662;242.70547037869943,231.3058695721641,232.734855713653
9.692;242.64686890111142,231.13533195869948,232.68839406203654
9.722;242.78175363467045,231.3430980587374,232.87653533411594
9.752;242.9755254759699,231.66600007158044,233.13607749601587
9.782;243.12679738249736,231.9254620755749,233.3553214882143
9.812;243.17890277455692,232.0368973922559,233.4805364177759
9.842;243.23100816661645,232.14833270893692,233.60575134733753
9.872;243.28311355867598,232.25976802561794,233.73096627689915
9.902;243.33521895073554,232.37120334229897,233.85618120646075
9.932;243.38626588425473,232.46934121684018,233.9802047138319
9.962;243.43704820313886,232.56415473084647,234.10393036565543
9.992;243.487830522023,232.65896824485273,234.22765601747898
10.022;243.50447768349392,232.66530514406253,234.23988206529557
10.052;243.48211323649264,232.57052591207633,234.1246799942471
10.082;243.45974878949133,232.47574668009014,234.00947792319863
10.112;243.4596138145018,232.4253367230363,233.9424244466996
10.142;243.77069144767674,232.99609661503558,234.54945129389273
10.172;244.08176908085167,233.56685650703483,235.15647814108587
10.202;244.3928467140266,234.1376163990341,235.763504988279
10.232;244.70392434720154,234.70837629103337,236.37053183547215
10.262;245.01500198037647,235.27913618303262,236.9775586826653
10.292;245.1924669541499,235.64948278648404,237.31811880132818
10.322;245.2363192685218,235.81941610138765,237.39221219146086
10.352;245.28017158289373,235.98934941629125,237.46630558159353
10.382;245.31072199157504,236.09531605032453,237.50178466649172
10.412;245.2880647774939,235.94541596087655,237.38280653045194
10.442;245.26540756341274,235.7955158714286,237.2638283944122
10.472;245.11912697136754,235.55025877016314,237.05529383504782
10.502;244.95382739809713,235.29033135938727,236.83298136440277
10.532;244.86683373390144,235.14109521263651,236.7338537804825
10.562;244.8251750696964,235.05594348190027,236.70604376256077
10.592;244.78351640549135,234.97079175116403,236.67823374463904
10.622;244.74657353414528,234.8928799297634,236.65717376463286
10.652;244.84638865570994,235.024925479096,236.83186488417752
10.682;244.94620377727463,235.1569710284286,237.00655600372218
10.712;245.0460188988393,235.28901657776115,237.18124712326684
10.742;245.1857547391924,235.5219509549639,237.3891634162406
10.772;245.3486025746335,235.81329465356518,237.61631533593646
10.802;245.51145041007464,236.10463835216646,237.84346725563233
10.832;245.6928485038363,236.41848254325384,238.10940296162343
10.862;245.93519744636544,236.8062569239384,238.5027711082988
10.892;246.17754638889457,237.194031304623,238.89613925497414
10.922;246.4198953314237,237.58180568530756,239.2895074016495
10.952;246.5607287070363,237.75513239709684,239.50225122300643
10.982;246.6706660405439,237.8631924270484,239.66002242361424
11.012;246.78060337405145,237.97125245699996,239.81779362422205
11.042;246.7765867622851,237.93666394896448,239.7850892486857
11.072;246.60163923260777,237.68810263394846,239.4666715089331
11.102;246.42669170293047,237.4395413189324,239.1482537691805
11.132;246.25024872517756,237.18505778308108,238.82590412023364
11.162;246.03043775323133,236.75882984300648,238.38952910465287
11.192;245.81062678128512,236.33260190293188,237.9531540890721
11.222;245.59081580933892,235.9063739628573,237.5167790734913
11.252;245.37100483739272,235.48014602278272,237.08040405791053
11.282;245.24273792204235,235.19874133199656,236.79390319171875
11.312;245.27259255899386,235.16748588998135,236.76627585628987
11.342;245.3024471959454,235.13623044796617,236.73864852086095
11.372;245.33230183289692,235.10497500595096,236.71102118543203
11.402;245.22411406060561,234.99669879314425,236.5828140276502
11.432;245.1159262883143,234.88842258033753,236.45460686986837
11.462;245.00773851602304,234.78014636753082,236.32639971208653
11.492;245.12885866173207,234.99179979400148,236.57568182934784
11.522;245.3827360231255,235.38867564321166,237.04351036900255
11.552;245.4986668073899,235.59357454938126,237.26483235872945
