time;interpolated Pixel rightCheek
11.852;174.82821500641228,156.95975117782066,158.20396256508877
11.882;174.45623416008328,156.57195552907137,157.82218170071218
11.912;174.0842533137543,156.18415988032206,157.4404008363356
11.942;173.71227246742527,155.79636423157277,157.05861997195902
11.972;173.72993193920007,155.78300171741634,156.98874808942645
12.002;174.0073516230441,156.0192612929885,157.12681552812327
12.032;174.2847713068881,156.25552086856064,157.2648829668201
12.062;174.530101945175,156.46498760096588,157.38321976187126
12.092;173.8448502623059,155.8974618815306,156.9293678911984
12.122;173.15959857943676,155.32993616209532,156.47551602052556
12.152;172.47434689656765,154.76241044266,156.0216641498527
12.182;172.3368936252208,154.6225500564037,155.93743984054132
12.212;172.67876396395593,154.85689683667894,156.1766396474212
12.242;173.02063430269106,155.0912436169542,156.4158394543011
12.272;173.3707417677676,155.34930567850222,156.69014939581575
12.302;173.74791407653737,155.68528937851798,157.0798212082731
12.332;174.1250863853071,156.02127307853374,157.46949302073045
12.362;174.50225869407686,156.35725677854953,157.85916483318778
12.392;174.87943100284662,156.6932404785653,158.24883664564513
12.422;174.50592657172206,156.4210514622632,157.92498370336077
12.452;173.90395530671663,155.96376640186432,157.38397105311157
12.482;173.30198404171122,155.50648134146547,156.84295840286234
12.512;173.44110793403172,155.66257967423945,156.96293425580066
12.542;174.86030527991514,156.87815841340282,158.22461752333567
12.572;176.16773301460077,158.00723007335534,159.40216550657388
12.602;176.7486582765005,158.57400571843726,160.0328341418829
12.632;177.32958353840024,159.14078136351918,160.6635027771919
12.662;178.2521876871736,159.9774297394596,161.56949591507913
12.692;179.299038703901,160.912213653894,162.5756070539039
12.722;177.6669510253965,159.35882441590957,160.96840428001138
12.752;173.69079198856406,155.62828366955867,157.07455183249127
12.782;170.46773986868024,152.63290063466698,153.93474571341974
12.812;172.1398827089625,154.41604272426045,155.69624072926413
12.842;173.8120255492447,156.19918481385392,157.45773574510855
12.872;173.7025700203143,156.0425309972612,157.31563417018248
12.902;173.4658574650116,155.7473203302266,157.0375614102014
12.932;173.22914490970888,155.452109663192,156.75948865022028
12.962;173.6233508035746,155.84487840471246,157.15138633438795
12.992;174.56961034046273,156.83962912871857,158.12950815718582
13.022;175.51586987735087,157.83437985272468,159.10762997998367
13.052;176.46815912503206,158.8077401950612,160.07543669055087
13.082;177.50486432381626,159.48163519402365,160.89883182988905
13.112;178.5415695226005,160.15553019298608,161.7222269692272
13.142;179.73796964464634,161.2038702912396,162.84494566043435
13.172;180.97429349750757,162.3458216643159,164.04249523960877
13.202;182.21061735036884,163.4877730373922,165.2400448187832
13.232;182.0892314822926,163.4081293187939,165.18778658646667
13.262;178.79985626536228,160.47809705295492,162.21931012733802
13.292;175.51048104843196,157.54806478711595,159.25083366820934
13.322;172.2211058315016,154.61803252127697,156.28235720908066
13.352;173.62470258308443,155.88895570682362,157.5599665775988
13.382;175.3635116181325,157.45994713889783,159.14086779094882
13.412;177.10232065318053,159.03093857097204,160.72176900429886
13.442;178.8411296882286,160.60193000304625,162.3026702176489
13.472;179.58374044722845,161.2649829033776,162.94655818621436
13.502;179.0236303837038,160.74073156989135,162.3651211423692
13.532;178.4635203201791,160.21648023640512,161.783684098524
13.562;177.933615784325,159.7262811268363,161.23554956507195
13.592;178.27967155091733,160.22359651087356,161.6531878330204
13.622;178.62572731750964,160.7209118949108,162.07082610096884
13.652;178.49645800834233,160.58566185625224,161.90367357324027
13.682;178.22252454568292,160.2578919063384,161.5585412381317
13.712;177.79120628387548,159.82334107630209,161.1441782001572
13.742;177.1800196801846,159.26675495469726,160.65069435890737
13.772;176.56883307649372,158.71016883309244,160.15721051765752
13.802;175.9868998641253,158.18115622524527,159.67458185368835
13.832;175.668247173659,157.90030524121693,159.28964978524525
13.862;175.34959448319276,157.61945425718858,158.90471771680214
13.892;175.03094179272648,157.33860327316023,158.519785648359
13.922;175.96939753282012,158.13743188138076,159.33785114171985
13.952;177.3649836112992,159.32887125041907,160.5933702939185
13.982;178.76056968977827,160.5203106194574,161.84888944611714
14.012;179.63869911193746,161.2697878595386,162.63402580185615
14.042;179.74064354961678,161.35632190618418,162.71358796290576
14.072;179.84258798729613,161.44285595282975,162.79315012395534
14.102;179.94453242497548,161.5293899994753,162.87271228500495
14.132;180.0464768626548,161.61592404612088,162.95227444605453
14.162;183.60211277612015,164.91173027359216,166.39507159756045
14.192;187.54149218689506,168.56412229893297,170.21156152578374
14.222;190.0574411988005,170.8728401576733,172.63318626692424
14.252;190.7119812275689,171.42444564470534,173.23075653264874
14.282;191.36652125633734,171.97605113173736,173.82832679837324
14.312;192.020663407954,172.536039740478,174.43092761602415
14.342;192.66326712216986,173.3391388787679,175.17941443954075
14.372;193.3058708363857,174.1422380170578,175.92790126305732
14.402;193.94847455060156,174.9453371553477,176.6763880865739
14.432;192.9994812566221,174.0739909695763,175.7580121745233
14.462;191.25468945854493,172.3654221217743,174.0062048946891
14.492;189.5098976604678,170.65685327397225,172.2543976148549
14.522;188.25908809113488,169.44811858671684,171.0209339974022
14.552;188.1609037222052,169.4056636074035,170.99693892550638
14.582;188.06271935327553,169.36320862809015,170.97294385361056
14.612;187.96453498434582,169.32075364877682,170.94894878171473
14.642;186.72201932392431,168.13130480117772,169.67571582594823
14.672;185.3977657141105,166.85992782012966,168.31325159276238
14.702;184.0735121042967,165.58855083908156,166.95078735957654
14.732;183.5232685221355,165.02946341919179,166.32583148501416
14.762;183.65028371417037,165.09362936531554,166.34619542424736
14.792;183.0292269646939,164.5154775553576,165.76190366033413
14.822;181.11604595260695,162.82786780307674,164.1332065909861
14.852;179.20286494052002,161.1402580507959,162.5045095216381
14.882;179.74863903238528,161.63721825995336,162.95627950939547
14.912;180.37920467955925,162.20950846778112,163.47978974050127
