time;Pixel leftCheek
17.955;217.95642105263158,196.136,202.35873684210526
18.027;216.6118721461187,195.31278538812785,201.3659194686592
18.129;217.5925376298495,196.21984312062753,202.28831884672462
18.297;217.16670042535952,195.10958071703465,201.49463236783473
18.397;217.75834889027172,195.28458825969716,201.95374403650695
18.499;216.8218648208469,194.93241042345278,201.16347719869708
18.6;217.1440713101161,194.74233001658374,201.42019071310116
18.72;216.1322718922229,193.98897734231477,200.3404776484997
18.86;216.42628007402837,194.56097059428336,200.823360065803
18.994;216.6042944785276,194.79918200408997,200.85316973415132
19.099;217.3875904860393,195.39069286452948,201.44426059979318
19.234;216.70855397148677,194.97433808553973,201.27331975560082
19.336;216.72081114297418,194.82773453502662,200.93998361327326
19.439;217.11459614596146,195.3142681426814,201.470069700697
19.574;216.37930332043186,194.97270319820737,201.05744550825014
19.673;216.26844679983694,194.44679983693436,200.88075825519772
19.777;216.43835337273282,194.42857142857142,200.98063990218057
19.879;217.25973236009733,195.64821573398217,201.82623682076238
19.984;217.41747967479674,195.75548780487804,202.01768292682928
20.123;216.78386108273747,195.18386108273748,201.24923391215526
20.224;216.77572559366754,195.15770245585549,201.16176172112847
20.292;216.5074081591232,194.76821595291253,201.132535011163
20.396;216.89891991033218,195.0071326676177,201.37151008762993
20.465;216.75424071082392,194.5359450726979,201.05896607431342
20.579;216.7470983506414,194.87192017918957,201.00325799226226
20.713;216.08018396320736,194.4247150569886,200.68366326734653
20.812;218.1290916530278,196.11743044189853,202.51247954173485
20.883;216.54832899739844,194.84890934560735,201.08304982989793
20.984;215.75092024539876,193.7918200408998,199.87668711656443
21.086;217.4940174406814,195.45933887649565,201.79598458730482
21.187;217.01915785272402,195.67790860107763,201.66753143085214
21.297;218.04735883424408,196.1532078526614,202.3505363286784
21.398;217.57816929931147,195.69218307006886,202.1737545565006
21.466;216.99283227524063,194.94122465697316,201.25168953512184
21.566;216.68205751316322,194.81409477521262,200.76326447954636
21.667;217.02185011231367,194.82540330814786,201.34919338370432
21.777;217.25193167954453,195.4318828792192,201.34058560390403
21.884;217.13717085119413,195.1473770157175,201.41477852622984
21.984;216.92781618544123,195.2944286295242,201.4021960146401
22.118;218.1408652860365,196.37400041008817,202.42054541726472
22.221;218.1623949149067,196.59421775681773,202.81340988312488
22.289;217.55589743589744,195.42441025641025,201.60123076923077
22.356;217.0092345577673,195.14775292427663,201.35358095628976
22.458;217.64874846122282,195.62187115305704,201.96512105047188
22.524;216.77722975750103,194.88943690916565,201.2223592272914
22.625;216.63901940755872,194.84984678243106,201.1270684371808
22.76;216.16466445733224,194.80654515327257,200.85584092792047
22.86;216.19159072079535,194.41300745650372,200.48094449047224
22.927;214.92986748216106,193.5249745158002,199.43792048929663
23.028;215.55850298169855,194.26567962163273,200.07258893687023
23.094;216.04044344077192,194.12112502566208,200.65079039211662
23.235;214.9956718878813,193.12757625721352,199.5929513602638
23.403;216.93810405099734,194.7491260538762,201.63808348755913
23.469;217.22833024500721,195.00308832612723,201.89911467984354
23.569;216.05894392140812,194.1911584117888,200.60151453131397
23.704;215.86028354222313,193.84775015409903,200.14115471543045
23.806;216.12756778964666,194.08586688578472,200.34942481511914
23.882;216.54844006568143,194.65004105090313,200.88095238095238
24.019;216.62408462164362,194.62123677786818,201.09235150528886
24.12;216.164713140037,193.9993830968538,200.3257248611968
24.222;216.2757557063541,193.89779971211186,200.3931729385153
24.324;216.47342600163532,194.11569910057236,200.72015535568275
24.392;216.12484599589322,193.81909650924024,200.4193018480493
24.46;216.01458804191495,193.42942264228478,200.28313129237722
24.561;216.57568947906026,194.5432073544433,201.09805924412666
24.662;216.42377736852876,194.20994475138122,200.646204215265
24.741;217.1110883797054,194.5505319148936,201.2825286415712
24.91;216.02035361842104,193.44449013157896,200.3046875
25.012;216.09170751633988,193.39705882352942,200.31903594771242
25.079;216.34437086092714,193.40418046357615,200.52235099337747
25.15;215.56023606023606,192.72995522995524,199.93284493284494
25.256;215.47720739219713,192.99034907597536,199.6347022587269
25.358;216.01207778915045,193.10583418628454,200.22702149437052
25.463;215.78894575230296,193.10276356192426,199.95291709314228
25.529;215.36400651465797,192.76384364820848,199.71844462540716
25.63;216.62944885092537,194.04270896888346,200.7801504982713
25.735;217.04024640657084,194.41663244353182,201.29876796714578
25.835;216.5958102279729,193.35962209899364,200.5695214623126
25.94;216.635773676739,193.45122693165686,200.86006895153113
26.041;217.3597312703583,194.12031758957656,201.196661237785
26.144;217.10647394136808,194.05720684039088,201.16001628664495
26.246;215.65786802030456,192.90497461928933,199.72223350253807
26.346;215.55569105691058,192.855081300813,199.57662601626015
26.413;216.49479698020812,194.03917567843297,200.64537849418485
26.483;216.47952853598014,193.5990488006617,200.4714640198511
26.584;215.68730964467005,193.18274111675126,199.85543147208122
26.727;215.4506694129763,192.59114315139033,199.3913491246138
26.861;216.3939828080229,193.65513712648382,200.45374539500614
26.962;216.4922504649721,193.52221533374663,200.56416615003099
27.062;215.70436022819885,193.17216788916056,199.8398533007335
27.129;216.11933904528763,193.64300285597716,200.34475724194206
27.239;215.03495224547856,192.91505791505793,199.371672424304
27.374;216.17972444992802,193.7464528069093,200.1686201932963
27.475;216.1304347826087,193.58121410992618,200.12202625102543
27.542;215.9332237517978,193.28189850010273,200.14033285391412
27.614;215.77161130596244,193.0845884051991,200.02599546110997
27.714;216.16954022988506,193.79597701149424,200.5913382594417
27.816;216.3177339901478,193.61083743842366,200.36576354679804
27.916;216.40093858396244,193.6200775351969,200.28647214854112
28.017;215.55743452258199,193.36956073417198,199.67395339245206
28.087;214.8878923766816,192.90582959641256,199.18202201386057
28.187;216.00535751081804,193.96311559859882,200.31897795178241
28.288;215.4806778259971,193.64083488324033,200.04360405042365
28.389;216.2782141380736,194.11802397684994,200.49896651508888
28.522;215.77920730442,193.60012450715917,200.03755965968043
28.624;215.77229950900164,194.00143207855973,200.18146481178397
28.726;215.62940812538668,193.21282738709013,199.83171787997526
28.791;215.4856144677353,193.34628031237156,199.76037813399097
28.893;214.8098867147271,192.72070030895983,199.00926879505664
28.993;216.0308261405672,194.0945334977394,200.32244143033293
29.104;215.82900165016503,194.04228547854785,200.1404702970297
29.24;216.44923076923078,194.8443076923077,200.91241025641025
29.34;216.01657000828502,194.16570008285004,200.0115990057995
29.443;214.69353193225874,192.88716588451337,199.15609059375637
29.513;216.1181592039801,194.26347429519072,200.6502902155887
29.581;216.19075975359343,194.22381930184804,200.42443531827516
29.682;215.94460520876396,194.09487391484083,200.6364200082679
29.782;216.23336089293096,194.24493592393551,200.70628358825962
29.849;215.27176134041684,193.40375970576216,199.5300367797303
29.991;215.9815005138746,194.02713257965056,200.33977389516957
30.091;216.7424273645168,194.8217597362456,201.48980012363486
30.192;216.45766543362103,194.83970406905055,200.95869297163995
30.294;216.1737079573421,194.64232977850696,200.90463494667762
30.394;215.90446521287643,194.03239875389409,200.30591900311526
