time;Pixel rightCheek
31.964;190.84711643090316,171.3284367065651,173.18697859992747
32.098;186.70186666666666,167.30897777777778,169.09777777777776
32.199;190.1395221594018,170.67007112894402,172.22560641984316
32.3;186.54441055087025,167.3147317423291,168.98833662300376
32.402;188.2254565178087,168.7089133972157,170.54185499909602
32.51;187.03140794223827,167.40992779783394,169.20018050541518
32.645;187.9854914762423,168.51577801958652,170.34584693507435
32.778;186.24660714285713,167.295,168.71357142857144
32.88;189.84333874166217,170.0908599242834,171.96520641788354
32.98;187.8496872207328,168.25898123324396,169.75352993744414
33.081;189.7258414766558,169.90463264567498,171.53999276149113
33.181;187.46058017440825,167.94714361986118,169.31144331731625
33.282;193.12274235164026,172.83136748986362,174.9408403980833
33.382;185.5085192341472,165.88775689443176,167.83611452661162
33.453;191.6055923473142,171.49963208241354,173.39845474613688
33.553;184.65035087719298,165.130350877193,167.04894736842104
33.688;190.94146698372052,171.15986830071338,173.03127858057437
33.789;185.91311244272117,166.28921395840678,168.15438843849137
33.89;191.75141449169556,171.35937214820223,173.31173571819676
33.994;185.70542498674678,165.75455027389998,167.44689874536138
34.095;191.91041474654378,171.82783410138248,173.85695852534562
34.199;183.70893825432918,164.48924260976037,166.15147804792724
34.272;190.12342981977062,169.89859821591116,172.05516111414528
34.443;185.15441978901418,165.12204437977445,167.24645325572936
34.545;191.27640279614585,170.7808426223314,173.22747024371813
34.646;186.66433179723504,166.70470046082949,168.7941013824885
34.717;192.4408155559751,171.27543892769492,173.8397205965641
34.851;187.09748946307494,166.87868792376764,168.90782481216786
34.918;192.15762518968134,171.36911987860395,173.57549317147192
35.049;187.47193500738553,167.1632200886263,169.43205317577548
35.155;194.10835854765506,173.2233358547655,175.6412632375189
35.256;191.507618872774,170.61648613915918,173.19386818432164
35.36;190.04992737835875,169.99782135076254,172.00290486564995
35.461;191.10822117133503,170.57748272098945,173.13986904328846
35.562;190.58493647912886,169.9502722323049,172.58493647912886
35.731;191.47007458613788,170.89357831544478,173.53283609241404
35.834;188.23906390639064,167.8876687668767,169.96363636363637
35.934;190.73373759647188,170.45516354281514,172.5803013597942
36.069;189.00018086453247,168.9240368963646,171.19641888225718
36.17;192.47494915880938,171.68182658532075,173.99445368829728
36.242;191.24319386077107,170.63822400877032,172.60953773067789
36.342;187.08512544802866,166.78548387096774,168.96541218637992
36.456;188.32647907647907,168.28589466089466,170.58766233766235
36.556;189.8557657979293,169.46769011067477,171.61745805069617
36.692;188.96876682821755,168.98204990127445,170.7801112906121
36.792;185.74901890831254,165.7741705315733,167.77738137709596
36.893;189.5381386861314,169.8529197080292,171.63394160583942
36.995;186.9731364525885,167.31133250311333,169.2478206724782
37.117;191.12707990491865,170.9036386908027,173.35088681660267
37.253;184.23628021881066,164.6393153343921,166.28798305982002
37.354;189.9185961043734,169.51286291804485,171.7087467842705
37.455;185.31020551554542,165.3288248726506,167.25276655541893
37.557;192.8257826887661,172.23038674033148,174.39907918968692
37.657;184.53454291695743,164.38136775994417,166.2109211444522
37.759;183.80896720167482,164.1120027913468,166.09647592463364
