time;Pixel forehead
24.019;246.31137983156987,236.98186136903476,239.30360613258475
24.12;246.26534103057514,236.67692965576225,239.01624973273465
24.222;246.470173187941,236.93158007269616,239.31045542014112
24.324;246.7361051271004,237.5695820766911,239.95152951314088
24.392;246.259623609923,236.70701454234387,239.10521813515825
24.46;246.2900647948164,236.53390928725702,238.93736501079914
24.561;246.5748541801685,237.16936703391661,239.47980125297042
24.662;246.19114775439357,236.42959427207637,238.7357344326318
24.741;246.5105648986632,236.84885726606296,239.11987925830098
24.91;246.18183774478157,236.5831719388853,238.88831504196256
25.012;246.52604279230604,237.00756429652043,239.39377566457748
25.079;246.47150814053128,236.8063410454156,239.26392459297344
25.15;246.3344872349632,236.68109043704024,239.10341843357853
25.256;246.1277561608301,236.3558149589278,238.63359273670557
25.358;246.7856987611389,237.43338404694632,239.92001738752444
25.463;246.89545750923713,237.46250815040207,239.79787002825472
25.529;246.3768271711092,236.83147033533965,239.0690025795357
25.63;246.31020230585165,236.99869480095714,239.2049162497281
25.735;246.59814094249893,237.43752702118462,239.68547341115433
25.835;246.09808195292067,236.4117262423714,238.8214908456844
25.94;246.8037809647979,237.36093003042154,239.83268144285094
26.041;246.39638865004298,236.9615219260533,239.1468185726569
26.144;246.18207222699914,236.871883061049,238.9724849527085
26.246;246.80345945945945,237.38356756756758,239.7254054054054
26.346;246.3477885652643,236.922761596548,239.18403451995684
26.413;246.64592784618708,237.37308273925254,239.57204579822857
26.483;246.45170332039672,237.16515739542908,239.33829236739973
26.584;246.86765975820379,237.49740932642487,239.7968480138169
26.727;246.09825843904537,236.71855514943022,238.73962588690605
26.861;246.62125813449023,237.40303687635574,239.72733188720173
26.962;246.15765570934255,236.26297577854672,238.80406574394465
27.062;246.4446873633581,236.9383471797114,239.36794927853083
27.129;246.69571734475375,237.62676659528907,240.04175588865095
27.239;246.6875947174713,237.5096341199394,239.88222558995454
27.374;246.7029143105698,237.40147890387124,239.76272292301002
27.475;246.70508622571492,237.3453394455359,239.63348613839773
27.542;246.49772283669486,237.13055736282803,239.29082628497073
27.614;246.71812227074236,237.4873362445415,239.8198689956332
27.714;246.87295350360182,237.9855926653569,240.4158480681074
27.816;246.29115853658536,236.87216898954705,239.1698606271777
27.916;246.64752301622096,237.3684787373959,239.52959228408594
28.017;247.00387096774193,238.24537634408603,240.26
28.087;246.5080017301038,237.43360726643598,239.5393598615917
28.187;246.73510221835582,237.4917355371901,239.77359721618095
28.288;246.31416216216215,236.97535135135135,239.12886486486485
28.389;246.52864299716836,237.24504465258113,239.51818775865826
28.522;246.12880104257167,236.5325803649001,239.03301476976543
28.624;246.18920095797952,236.89396908338776,239.20923143914652
28.726;246.5766041030118,237.2446529899607,239.4973810563073
28.791;246.41759198780753,237.09928151534945,239.3448726322665
28.893;246.33196099674973,236.93434452871074,239.16836403033585
28.993;246.296015591165,236.79536595928974,239.0762234733651
29.104;245.8500537056928,236.16777658431795,238.33211600429647
29.24;246.4598126769767,237.1927684600305,239.4709213678937
29.34;246.64010338143441,237.522722377773,239.8526814559552
29.443;246.26335135135136,236.99827027027027,239.28172972972973
29.513;246.3718918918919,237.03589189189188,239.2147027027027
29.581;246.20048045424764,236.88425420397468,239.15068792312732
29.682;246.44401041666666,237.20182291666666,239.685546875
29.782;246.60264756944446,237.35329861111111,239.64366319444446
29.849;246.62377531025473,237.37644241236666,239.66361854996734
29.991;246.0105580693816,236.6543848308554,238.79961215255332
30.091;246.34760977720094,237.0560242266926,239.4445165476963
30.192;246.27062134661182,236.851915999134,238.93375189434943
30.294;246.37792349726777,237.17049180327868,239.21770491803278
30.394;246.38160721959605,236.9404813064031,239.40309411259133
30.496;246.09840996991835,236.62483884830255,238.9127632144392
30.596;245.75364209610785,236.29854316155686,238.49032398347467
30.696;245.52253032928942,235.453856152513,237.96663778162912
30.896;246.46646207803596,236.9552827707146,239.30666374397194
31.029;246.01487068965517,236.56508620689655,238.8407327586207
31.131;246.1645624727906,236.69677840661734,238.8992163691772
31.232;246.14018087855297,236.65740740740742,238.8736003445306
31.367;246.27457404980342,236.66535605067716,239.1834862385321
31.439;245.83531960996748,236.19371614301193,238.58374864572048
31.54;246.42049703100946,236.9041126017154,239.41763800307896
31.614;246.09012505390254,236.72078482104357,239.2488141440276
31.715;246.14491803278688,236.50688524590163,238.95344262295083
31.85;246.06558441558442,236.4517316017316,239.0082251082251
31.964;246.44661258495944,236.8427976320982,239.30453847840386
32.098;245.93796095444685,235.89501084598697,238.30629067245118
32.199;246.21234676007006,236.61405429071803,239.0194833625219
32.3;246.32347225221335,236.6048369682574,239.1576333405312
32.402;245.8983498349835,235.9940594059406,238.4849284928493
32.51;245.63175158539252,235.48873824622785,237.97288432101465
32.645;245.94872354353043,236.15186559022473,238.74536329914903
32.778;245.6982456140351,235.63771929824563,238.3094298245614
32.88;246.03543743078626,236.11384274640088,238.5984496124031
32.98;246.18913569386407,236.25401363536398,238.98834396305256
33.081;245.86003967379327,236.08485783557416,238.63654397178752
33.181;245.61658493089612,235.64333481943825,238.2124386981721
33.282;246.42256341789053,236.88228749443704,239.52981753449043
33.382;245.61889108042953,235.64672364672364,238.23756300679378
33.453;246.09001782531195,236.2346256684492,238.97660427807486
33.553;245.82726874177993,236.06400701446734,238.91538798772467
33.688;246.1593098812458,236.83015908581672,239.32534169840915
33.789;246.01736263736262,236.1813186813187,238.93626373626373
33.89;246.33681172291296,236.5523978685613,239.26531971580818
